State,2010 POP,2011 POP,2012 POP,2013 POP,2014 POP,2015 POP,2016 POP,2017 POP,Region
Alabama,15617.529411764706,15661.363800904976,15713.219909502262,15760.858823529412,15802.909502262444,15841.446153846155,15875.019004524887,15922.885972850681,SE
Alaska,7581.731988472622,7666.988472622478,7757.066282420749,7819.311239193084,7816.585014409223,7824.314121037464,7856.389048991355,7833.665706051873,W
Arizona,109780.77375565609,110807.1628959276,112187.88235294117,113455.18552036199,115031.47963800904,116714.80090497738,118562.8371040724,120432.47058823529,SW
Arkansas,9087.38704177323,9144.59505541347,9180.98294970162,9208.963341858482,9238.167092924126,9276.047740835464,9318.995737425405,9372.023017902813,SE
California,132762.17920148562,134004.1662024141,135249.28319405756,136434.88207985144,137704.3398328691,138893.6555246054,139843.98978644382,140702.9331476323,W
Colorado,27272.89580318379,27651.75976845152,28039.124457308248,28461.892908827787,28900.500723589,29443.341534008683,29931.80897250362,30354.14327062229,W
Connecticut,60172.25964912281,60379.698245614025,60487.27719298246,60578.750877192986,60546.58947368421,60442.00350877192,60352.90877192983,60359.207017543864,NE
Delaware,23829.145161290322,24047.25,24286.137096774193,24500.322580645166,24754.322580645166,24999.620967741932,25224.45967741936,25471.395161290322,NE
District of Columbia,605040.0,620336.0,635630.0,650114.0,660797.0,672736.0,684336.0,693972.0,NE
Florida,68678.96257796258,69596.08939708941,70481.83056133057,71362.53638253639,72502.25675675676,73846.11122661122,75245.09979209979,76423.53430353431,SE
Georgia,23402.962809917357,23640.202479338845,23888.843663911844,24052.30027548209,24287.005509641876,24558.14049586777,24823.854683195597,25096.90564738292,SE
Hawaii,446990.5555555556,451765.33333333326,456446.0,461206.22222222225,463893.44444444455,466535.22222222225,466887.33333333326,466013.44444444455,W
Idaho,11736.485829959514,11832.342105263158,11922.714574898786,12043.09109311741,12199.585020242916,12344.344129554656,12576.696356275304,12856.479757085019,W
Illinois,10115.170556309362,10132.625373134328,10146.884396200814,10157.758480325645,10152.575848032564,10137.455223880595,10117.284396200814,10091.320217096336,MW
Indiana,9980.023458091724,10022.07643647865,10057.403268318398,10110.88323668951,10153.153136531366,10182.150764364787,10219.647074327886,10272.09409594096,MW
Iowa,5356.472904122279,5381.454840203798,5401.495599814729,5430.044465030107,5459.25289485873,5483.595182955072,5506.7735062528955,5534.532190829088,MW
Kansas,3856.9582125603865,3871.7739130434784,3894.5176328502416,3905.0437198067625,3914.3985507246375,3923.3132850241545,3926.485024154589,3934.1896135265706,MW
Kentucky,14383.543441226577,14456.097955706984,14515.524701873936,14578.580068143101,14621.531516183986,14666.652470187393,14717.7734241908,14781.94804088586,MW
Louisiana,21020.476446837147,21158.588156123824,21290.304172274562,21402.07133243607,21501.262449528942,21603.48452220727,21665.89502018842,21649.581426648718,SE
Maine,9312.161904761904,9315.042857142857,9316.47619047619,9316.088888888891,9325.01746031746,9318.2,9334.538095238097,9373.282539682541,NE
Maryland,48851.26098901099,49293.8543956044,49687.50549450549,50022.332417582424,50336.63736263736,50578.66483516483,50752.4010989011,50962.98626373626,NE
Massachusetts,61402.90485074628,61842.367537313425,62295.875,62776.05037313433,63223.81156716418,63561.53358208955,63838.00932835821,64159.253731343284,NE
Michigan,13667.130081300813,13662.562330623306,13674.146341463416,13686.533875338753,13701.70650406504,13701.593224932249,13717.379674796748,13751.064769647695,MW
Minnesota,5061.740062282469,5094.328265250046,5123.639494412896,5159.58783660011,5194.335043048177,5223.437442755084,5263.064847041584,5312.21414178421,MW
Mississippi,13345.454545454546,13378.478873239435,13401.399487836108,13420.647887323943,13424.426376440459,13409.259923175416,13407.518565941102,13398.25352112676,SE
Missouri,7944.700459201696,7963.790180148359,7980.806075591664,8004.5376192158255,8027.477569763335,8046.424938184387,8071.779583186154,8101.3345107735795,MW
Montana,9609.349462365592,9674.413978494624,9742.115591397851,9824.96505376344,9901.301075268815,9984.311827956992,10079.27688172043,10190.989247311827,W
Nebraska,3566.769636015326,3586.3869731800764,3608.4128352490416,3628.994731800766,3651.144636015326,3672.295019157088,3696.0043103448274,3717.222701149425,MW
Nevada,146677.46153846153,147529.9846153846,149423.12307692308,151310.1846153846,153777.52307692307,156573.75384615385,159630.64615384614,162849.78461538462,W
New Hampshire,19028.82704402516,19054.490566037737,19089.14150943396,19113.65408805032,19202.751572327044,19223.094339622643,19291.292452830192,19400.930817610064,NE
New Jersey,27582.497468354435,27718.24430379747,27843.596202531644,27948.12658227848,28043.03670886076,28100.43417721519,28162.369620253165,28249.925316455698,NE
New Mexico,26824.982206405693,27002.21352313167,27084.128113879004,27114.51245551601,27097.51601423488,27092.882562277584,27136.864768683277,27172.729537366547,SW
New York,26323.907611853574,26471.28965717606,26589.40557815224,26695.073503776875,26765.13712957583,26812.85299244625,26826.50697269029,26842.556362579897,NE
North Carolina,24974.143277002204,25217.194709772222,25472.80088170463,25735.688464364437,25988.594415870684,26265.019103600294,26575.996326230717,26890.42689199118,SE
North Dakota,1258.0213572166724,1277.4881157423356,1308.2893558387875,1350.2101274543575,1380.7326903203582,1412.9379951774026,1415.800206682742,1416.743024457458,MW
Ohio,11314.094744368967,11318.580979621023,11323.432070075081,11345.02306042188,11371.26117268502,11384.768501966391,11401.929388630677,11437.859671076152,MW
Oklahoma,10247.635507246378,10320.242753623188,10406.353623188406,10504.555072463769,10576.001449275362,10659.342753623188,10707.302173913044,10734.139855072464,SW
Oregon,24903.187719298247,25094.522807017544,25284.01052631579,25455.47192982456,25728.6403508772,26095.43157894737,26550.191228070176,26921.029824561407,W
Pennsylvania,10230.232356511184,10251.821050806313,10268.72828160222,10273.746141841513,10279.235304317672,10275.661175654586,10268.653025836657,10278.716143575517,NE
Rhode Island,71191.54166666669,71145.20833333331,71193.98611111111,71174.09722222223,71327.66666666669,71413.30555555556,71534.04166666669,71663.16666666669,NE
South Carolina,23584.30757575757,23773.319696969702,24010.918181818182,24250.857575757575,24554.22272727273,24905.13333333333,25254.309090909093,25586.674242424244,SE
