Brewery Name,City,State,Country,Year Established,In Business?,Closed?
Headquarters,Saint-Omer,['null'],['null'],1866,['null'],['null']
Headquarters,Lisboa,['null'],['null'],2014,['null'],['null']
Heaven's Gate Brewery,Riggins,Idaho,UNITED STATES,2016,Y,N
Heavy Seas Alehouse - Baltimore,Baltimore,Maryland,UNITED STATES,1995,Y,Y
Heineken Experience,Amsterdam,Noord-Holland,NETHERLANDS,1873,Y,N
Heritage Brewing Co.,Manassas,Virginia,UNITED STATES,2013,Y,N
Hickory Location,Hickory,North Carolina,UNITED STATES,2011,Y,N
High Perch Brewing Company,Amsterdam,New York,UNITED STATES,2015,Y,N
High Point,High Point,North Carolina,UNITED STATES,2000,Y,N
High Water Brewing,Pittsburg,California,UNITED STATES,2011,Y,N
Highlands Ranch,Highlands Ranch,Colorado,UNITED STATES,1971,Y,N
Hillsdale Brewery,Portland,Oregon,UNITED STATES,1983,Y,N
Hofbräuhaus Chicago,Rosemont,Illinois,UNITED STATES,1589,Y,N
Hofbräuhaus Columbus,Columbus,Ohio,UNITED STATES,1589,Y,N
Hofbräuhaus Las Vegas,Las Vegas,Nevada,UNITED STATES,1589,Y,N
Hofbräuhaus Newport,Newport,Kentucky,UNITED STATES,1589,Y,N
Home Brew Mart,San Diego,California,UNITED STATES,1996,Y,N
Honeyrun Winery & Honey Company,Chico,California,UNITED STATES,1992,Y,N
HopCat,Royal Oak,Michigan,UNITED STATES,2008,Y,N
HopCat Detroit,Detroit,Michigan,UNITED STATES,2008,Y,N
HopCat Madison,Madison,Wisconsin,UNITED STATES,2008,Y,N
HopFly Brewing Company,Rocky Mount,North Carolina,UNITED STATES,2017,Y,N
Hops Bar & Grill / Down the Alley / Still Cocktail Bar,Doylestown,Pennsylvania,UNITED STATES,2011,Y,N
House Bear Brewing,Newburyport,Massachusetts,UNITED STATES,2013,Y,N
Houston (willowbrook),Houston,Texas,UNITED STATES,1978,Y,N
Hunter's Handmade Brewery,Mount Pleasant,Michigan,UNITED STATES,2015,Y,N
Huntington Beach,Huntington Beach,California,UNITED STATES,1976,Y,N
Huntington Beach,Huntington Beach,California,UNITED STATES,1978,Y,N
Huntington Beach Tap Room,Huntington Beach,California,UNITED STATES,2011,Y,N
Hyappa Brews,Gamagori-shi,Aichi Prefecture,JAPAN,2013,Y,N
Icarus Brewing,Lakewood,New Jersey,UNITED STATES,2017,Y,N
Imperial Western Beer Company,Los Angeles,California,UNITED STATES,2018,Y,N
Industria de Bebidas Cervejarte,['null'],['null'],['null'],2017,['null'],['null']
Intermission Beer Company,Glen Allen,Virginia,UNITED STATES,2013,Y,N
Inventors Brewpub,"Port Washington,",Wisconsin,UNITED STATES,2017,Y,N
Iron Hill Brewery & Restaurant  - Lancaster,Lancaster,Pennsylvania,UNITED STATES,1996,Y,N
Iron Hill Brewery & Restaurant - Center City,Philadelphia,Pennsylvania,UNITED STATES,1996,Y,N
Iron Hill Brewery & Restaurant - Greenville,Greenville,South Carolina,UNITED STATES,1996,Y,N
Iron Hill Brewery & Restaurant - Huntingdon Valley,Huntingdon Valley,Pennsylvania,UNITED STATES,1996,Y,N
Iron Hill Brewery & Restaurant - West Chester,West Chester,Pennsylvania,UNITED STATES,1996,Y,N
Irwindale Brewery,Irwindale,California,UNITED STATES,1895,Y,N
Island Dog Brewing,South Portland,Maine,UNITED STATES,2016,Y,N
Ivanhoe Park Brewing Co.,Orlando,Florida,UNITED STATES,2018,Y,N
Jacked Up Brewery,Escondido,California,UNITED STATES,2016,Y,N
Jacksonville,Jacksonville,Florida,UNITED STATES,1978,Y,N
Jeremiah Johnson Brewing Co.,Great Falls,Montana,UNITED STATES,2011,Y,N
John Barleycorns Brewery,Tigard,Oregon,UNITED STATES,1983,Y,N
Kane Brewing Co.,Ocean Township,New Jersey,UNITED STATES,2011,Y,N
käretäs brewing,Itasca,Illinois,UNITED STATES,2016,Y,N
Kennett Square,Kennett Square,Pennsylvania,UNITED STATES,1996,Y,N
King of Prussia,King of Prussia,Pennsylvania,UNITED STATES,1998,Y,Y
Kissimmee,Kissimmee,Florida,UNITED STATES,1978,Y,N
Koholā Brewery,Lahaina,Hawaii,UNITED STATES,2015,Y,N
La Cruces Taproom,Las Cruces,New Mexico,UNITED STATES,2010,Y,N
La Mesa,La Mesa,California,UNITED STATES,1978,Y,N
Labège,Labège Cedex,Toulouse,FRANCE,1986,Y,N
Lacey,Lacey,Washington,UNITED STATES,1971,Y,N
Laguna Beach,Laguna Beach,California,UNITED STATES,1978,Y,N
Lake Charlevoix,Charlevoix,Michigan,UNITED STATES,2015,Y,N
Lakes Austin Ales,Austin,Texas,UNITED STATES,2018,Y,N
Lakewood,Lakewood,Washington,UNITED STATES,1971,Y,N
Lancaster Brewery,Lancaster,Lancashire,UNITED KINGDOM,2005,Y,N
Layton,Layton,Utah,UNITED STATES,1994,Y,N
Le Lion d'Or,Sherbrooke,Québec,CANADA,1973,Y,N
Legends Brewery,Pretoria,Gauteng Province,SOUTH AFRICA,2016,Y,N
Lewisville,Lewisville,Texas,UNITED STATES,2013,Y,N
Liar's Bench Beer Co.,Portsmouth,New Hampshire,UNITED STATES,2016,Y,N
Lille,Lille,['null'],['null'],1986,['null'],['null']
Lo Rez Brewing and Taproom,Chicago,Illinois,UNITED STATES,2016,Y,N
Logan Tasting Room,San Diego,California,UNITED STATES,2013,Y,N
Look Long Brewing Company,POrtland,Oregon,UNITED STATES,2018,Y,N
Los Angeles - The Dankness Dojo,Los Angeles,California,UNITED STATES,2012,Y,N
Lost Colony Brewery,Manteo,North Carolina,UNITED STATES,2011,Y,N
Loveland Centerra Promenade,Loveland,Colorado,UNITED STATES,1998,Y,N
Lowercase Brewing - Production Facility,Seattle,Washington,UNITED STATES,2013,Y,N
Macedonian Thrace Brewery,Komotini,Northern Greece,GREECE,1998,Y,N
Mad Anthony's Lakeview Alehouse and Reception Hall,Angola,Indiana,UNITED STATES,1998,Y,N
Main Brewery,Urbana,Illinois,UNITED STATES,1998,N,Y
Main Brewery,Independence,Oregon,UNITED STATES,1988,Y,N
Main Brewery,['null'],['null'],['null'],2013,['null'],['null']
