Brewery Name,City,State,Country,Year Established,In Business?,Closed?
4 Seasons Brewery,Lapeer,Michigan,UNITED STATES,2014,Y,N
40 North Brewing,Boulder,Colorado,UNITED STATES,2011,Y,N
4kd Crick Brewery,Defiance,Ohio,UNITED STATES,2016,Y,N
4S Ranch,San Diego,California,UNITED STATES,1989,Y,N
7 Cent Brewing,Gisborne South,Victoria,AUSTRALIA,2012,Y,N
7 Fjell Bryggeri,Bønes,Hordaland,NORWAY,2013,Y,N
7 Mile Brewery,Rio Grande,New Jersey,UNITED STATES,2016,Y,N
810 Meadworks,Medina,New York,UNITED STATES,2014,Y,N
84th Street Brewing Company,Lake Stevens,Washington,UNITED STATES,2014,Y,N
Abashiri Beer,Abashiri,Hokkaido,JAPAN,2007,Y,N
Aberrant Ales,Howell,Michigan,UNITED STATES,2017,Y,N
Able Baker Brewing Company,Henderson,Nevada,UNITED STATES,2016,Y,N
Accomplice Beer Company,Cheyenne,Wyoming,UNITED STATES,2016,Y,N
Addison,Addison,Texas,UNITED STATES,2013,Y,N
Adobe Creek Brewing Company,Novato,California,UNITED STATES,2017,Y,N
Adventure Brewing North,Fredericksburg,Virginia,UNITED STATES,2013,Y,N
Adventure Brewing South,Fredericksburg,Virginia,UNITED STATES,2013,Y,N
Alagoinhas,['null'],['null'],['null'],1994,['null'],['null']
Alaro Craft Brewery,Sacramento,California,UNITED STATES,2018,Y,N
Albany Brewery,Albany,Georgia,UNITED STATES,1895,Y,N
AleCraft Brewery,Bel Air,Maryland,UNITED STATES,2017,Y,N
Allen,Allen,Texas,UNITED STATES,1978,Y,N
Altitude Brewing,Frankton,Queenstown,NEW ZEALAND,2013,Y,N
Altstadt Brewery,Frederikdsburg,Texas,UNITED STATES,2016,Y,N
Amiens,Amiens,['null'],['null'],1986,['null'],['null']
Amos Howards Brew Pub,Hickory,North Carolina,UNITED STATES,1994,Y,N
Amy Seibel,Vancouver,WA - Washington,UNITED STATES,2012,Y,N
Angry Horse Brewing,Montebello,California,UNITED STATES,2014,Y,N
Angry James Brewery,Silverthorne,Colorado,UNITED STATES,2018,Y,N
Anjou,Anjou,Quebec,CANADA,1986,Y,N
Appalachian Flatbread Co.,Gettysburg,Pennsylvania,UNITED STATES,1951,Y,N
Apple Tree Cider Company,Tauranga,Bay of Plenty,NEW ZEALAND,2009,Y,N
Applewood Farm Winery,Whitchurch-Stouffville,Ontario,CANADA,2000,Y,N
Aqua,San Marcos,Texas,UNITED STATES,2016,Y,N
Arcadia,Arcadia,California,UNITED STATES,1978,Y,N
Arcadia Brewing Company Kalamazoo,Kalamazoo,Michigan,UNITED STATES,1996,Y,N
Argus Cidery,Austin,Texas,UNITED STATES,2010,Y,N
Armadillo Ale Works,Denton,Texas,UNITED STATES,2010,Y,N
Around the Bend Beer Co.,Chicago,Illinois,UNITED STATES,2014,Y,N
Arrowhead,Glendale,Arizona,UNITED STATES,1998,Y,N
Asheville,Fletcher,North Carolina,UNITED STATES,1980,Y,N
Ashuelot Brewing Company,Richmond,New Hampshire,UNITED STATES,2014,Y,N
Aslan Brewing Company,Bellingham,Washington,UNITED STATES,2012,Y,N
